0,1,2,3,4,5,6,7,8,9,10,11,12,13,__table_index__,14,15
,,,,,,容3,,,,建築,,,,4,模獎,
,,,,,,,估,縮,計,,築,設計,設地,4,,
,,,,,,,,,,,,,,4,勵,
56,178 信義區,永吉段二小段605地號等土地,臺北市信義區永吉路,,108/8/1,10,8,,4,4,,,,4,10,36
57,100 士林區,福順段一小段92地號等土地,臺北市士林區重慶北路四段,,108/8/2,10,8,,4,4,,4,,4,10,40
58,503 中正區,公園段二小段592地號等土地,臺北市中正區重慶南路一段,失其效力,108/8/2,,8,,4,,,,,4,10,22
,,,,,,,,,,,,,,4,,70.7%
59,1127 松山區,美仁段一小段712地號等土地,臺北市松山區敦化北路,,108/8/5,3621.63,8,10,2,6,6,,,4,10,
,,,,,,,,,,,,,,4,,原容1.15
60,416 大同區,橋北段三小段899地號等土地,臺北市大同區環河北路二段,,108/8/21,,6,8,4,,6,4,,4,10,38
61,758 中山區,中山段四小段42地號等土地,臺北市中山區中山北路二段,,108/8/21,,8,8,2,6,,3,,4,10,37
62,1237.7 北投區,開明段一小段60地號等土地,臺北市北投區復興四路,失其效力,108/8/23,,8,8,4,6,,4,,4,10,40
63,507.75 信義區,吳興段二小段394地號等土地,臺北市信義區吳興街,失其效力,108/8/28,,8,8,2,6,6,,,4,10,40
64,349 士林區,天山段一小段510地號等土地,臺北市士林區中山北路七段,,108/8/28,,6,8,2,6,,3,,4,10,35
65,385.9 士林區,華岡段一小段178地號等土地,臺北市士林區大亨路,,108/8/28,,8,,,,,,,4,10,18
66,985 北投區,文林段五小段312地號等土地,臺北市北投區承德路七段,,108/8/29,,8,8,4,8,,3,,4,10,40
67,255 大安區,懷生段一小段134地號等土地,臺北市大安區復興南路一段,,108/8/30,,8,,2,4,,,,4,10,24
68,468 中正區,臨沂段一小段314地號等土地,臺北市中正區臨沂街,,108/9/2,10,6,8,2,4,,,,4,10,40
